id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1207,event-184,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.928384,5263.1540
1208,event-185,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.932136,5266.9060
1209,event-186,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.933849,5268.6190
1210,event-187,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.934775,5269.5450
1211,event-188,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.935951,5270.7210
1212,event-189,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.937610,5272.3800
1213,event-190,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.939680,5274.4500
1214,event-191,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.942232,5277.0020
1215,event-192,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.944732,5279.5020
1216,event-193,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.946376,5281.1460
1217,event-194,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.947957,5282.7270
1218,event-195,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.950317,5285.0870
1219,event-196,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.951449,5286.2190
1220,event-197,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.952343,5287.1130
1221,event-198,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.953096,5287.8660
1222,event-199,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.953894,5288.6640
1223,event-200,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.954715,5289.4850
1224,event-201,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.102848,8437.6180
1225,event-202,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.108413,8443.1830
1226,event-203,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:27.110776,8445.5460
